Profession,Income,Credit_card_number,Expiry,Security_code,Fraud
DOCTOR,42509,3.51542E+15,Jul-25,251,1
DOCTOR,80334,2.13134E+14,May-32,858,1
LAWYER,91552,4.86962E+15,Mar-30,755,1
LAWYER,43623,3.41063E+14,Jan-29,160,1
DOCTOR,22962,4.70742E+18,Nov-30,102,0
ENGINEER,72106,4.48353E+12,May-27,834,0
DOCTOR,54992,3.48782E+14,Jun-30,207,0
LAWYER,19996,3.86082E+13,Dec-26,433,0
DOCTOR,54682,4.49593E+15,Jan-32,872,0
DOCTOR,74679,3.01075E+13,Sep-34,295,0
ENGINEER,18932,4.37813E+18,Sep-32,637,0
ENGINEER,7554,4.27798E+15,Oct-31,360,0
LAWYER,3092,3.58435E+15,Oct-32,666,0
LAWYER,35707,3.56664E+15,Feb-33,652,1
DOCTOR,48695,3.50919E+15,Sep-25,901,1
ENGINEER,7932,3.59886E+15,Nov-33,831,1
DOCTOR,5403,4.7283E+15,Oct-31,962,1
ENGINEER,52440,6.01131E+15,Apr-27,3336,0
LAWYER,1598,4.78647E+12,Dec-24,390,0
DOCTOR,53211,3.86044E+13,Apr-25,859,1
LAWYER,54103,5.71979E+11,Apr-33,228,1
LAWYER,74329,6.59233E+15,Nov-25,469,1
ENGINEER,3784,4.89973E+15,Sep-33,723,0
LAWYER,93669,3.47167E+14,Mar-30,547,0
DOCTOR,72324,3.66745E+13,May-33,783,1
LAWYER,62306,4.51479E+12,Nov-28,141,0
DOCTOR,22144,4.33028E+18,Jun-27,457,1
ENGINEER,7286,5.47039E+15,Feb-28,758,1
DOCTOR,4885,2.24706E+15,Nov-26,288,0
LAWYER,4829,3.04105E+13,Feb-25,852,1
ENGINEER,80900,3.82693E+13,Jan-30,882,0
DOCTOR,86156,3.00841E+13,Feb-34,962,1
ENGINEER,30627,3.7517E+14,Dec-24,871,1
DOCTOR,4195,4.79289E+15,Jun-34,279,0
DOCTOR,86553,4.3401E+18,Dec-33,282,0
DOCTOR,99484,2.56787E+15,Jan-32,686,1
ENGINEER,83925,3.70523E+14,Mar-26,677,1
DOCTOR,35956,2.13118E+14,Jul-29,848,0
ENGINEER,13039,3.56184E+15,Dec-33,241,0
